"Gene","Module"
"RPS4Y1","grey"
"IFI27","black"
"IGHG1","tan"
"EIF1AY","grey"
"DEFA3","greenyellow"
"HLA-DRB4","grey"
"DEFA1","greenyellow"
"JCHAIN","tan"
"IGLC2","tan"
"CD177","yellow"
"HLA-DRB3","grey"
"DEFA1B","greenyellow"
"IGHG3","tan"
"IGHA1","tan"
"OLAH","yellow"
"IGLC1","tan"
"IGLC3","tan"
"IGKC","tan"
"OLFM4","greenyellow"
"DEFA4","greenyellow"
"MMP8","greenyellow"
"DDX3Y","grey"
"IGHG2","tan"
"LGALS2","brown"
"ARG1","yellow"
"RSAD2","black"
"HBA2","blue"
"LTF","greenyellow"
"GSTM1","grey"
"HLA-DRB5","brown"
"TMEM176B","brown"
"CTSG","greenyellow"
"IL1R2","yellow"
"IFI44L","black"
"MZB1","tan"
"HBG2","grey"
"LCN2","greenyellow"
"IGLL5","tan"
"IFIT1","black"
"ISG15","black"
"HBA1","blue"
"HBG1","grey"
"HBD","cyan"
"IGHG4","tan"
"MAOA","yellow"
"DAAM2","yellow"
"IGHM","tan"
"TMEM176A","brown"
"CEACAM8","greenyellow"
"LY6E","black"
"CXCL8","pink"
"CCL3L3","grey"
"IGHA2","tan"
"HLA-DQA2","brown"
"PI3","grey"
"SIGLEC1","black"
"VSIG4","yellow"
"BTNL3","grey"
"IL18R1","yellow"
"CA1","cyan"
"TNFRSF17","tan"
"ALAS2","cyan"
"ZDHHC19","yellow"
"BPI","greenyellow"
"OAS3","black"
"FCER1A","brown"
"ELANE","greenyellow"
"IGLC7","tan"
"EGR1","grey"
"AHSP","cyan"
"AZU1","greenyellow"
"PFKFB2","yellow"
"SERPING1","black"
"IFI6","black"
"CLC","brown"
"IFIT3","black"
"G0S2","grey"
"IFI44","black"
"TXNDC5","tan"
"CHIT1","greenyellow"
"F8A3","grey"
"CMPK2","black"
"UTS2","grey"
"HPGD","yellow"
"ORM1","green"
"PTGS2","turquoise"
"TBC1D3D","grey"
"MACIR","yellow"
"APOBEC3A","grey"
"RNASE3","greenyellow"
"MPO","greenyellow"
"HP","yellow"
"C4BPA","yellow"
"USP18","black"
"RNASE1","yellow"
"LILRA3","grey"
"RETN","greenyellow"
"TPST1","yellow"
"GNLY","brown"
"CRISP3","greenyellow"
"MS4A3","greenyellow"
"XAF1","black"
"RPSAP58","brown"
"NBPF26","turquoise"
"FOSB","grey"
"SIGLEC14","grey"
"EPSTI1","black"
"VNN1","yellow"
"APOBEC3B","grey"
"TCN1","greenyellow"
"MX1","black"
"GZMH","red"
"RPH3A","turquoise"
"OAS2","black"
"HBB","brown"
"CAMP","greenyellow"
