"Gene","Module"
"AFFX-r2-Bs-dap-3_at","brown"
"224588_at","grey"
"AFFX-DapX-3_at","brown"
"AFFX-r2-Bs-thr-3_s_at","brown"
"AFFX-r2-Bs-dap-M_at","brown"
"AFFX-ThrX-3_at","brown"
"AFFX-DapX-M_at","brown"
"205000_at","grey"
"224590_at","grey"
"221728_x_at","grey"
"AFFX-PheX-M_at","brown"
"AFFX-LysX-3_at","brown"
"214218_s_at","grey"
"AFFX-r2-Bs-thr-M_s_at","brown"
"AFFX-r2-Bs-phe-M_at","brown"
"AFFX-r2-Bs-phe-3_at","brown"
"AFFX-r2-Bs-lys-M_at","brown"
"AFFX-r2-Bs-dap-5_at","brown"
"AFFX-ThrX-M_at","brown"
"AFFX-PheX-3_at","brown"
"AFFX-r2-Bs-lys-3_at","brown"
"227671_at","grey"
"AFFX-LysX-M_at","brown"
"AFFX-DapX-5_at","brown"
"201909_at","grey"
"AFFX-r2-Bs-phe-5_at","brown"
"AFFX-PheX-5_at","brown"
"224589_at","grey"
"231597_x_at","grey"
"231628_s_at","grey"
"216834_at","grey"
"214131_at","grey"
"225239_at","blue"
"228492_at","grey"
"AFFX-ThrX-5_at","brown"
"209116_x_at","grey"
"230255_at","turquoise"
"201497_x_at","blue"
"206700_s_at","grey"
"1556378_a_at","turquoise"
"203798_s_at","turquoise"
"207063_at","grey"
"1556499_s_at","blue"
"AFFX-r2-Bs-thr-5_s_at","brown"
"213921_at","turquoise"
"204939_s_at","blue"
"1557475_at","turquoise"
"227062_at","blue"
"219719_at","blue"
"204083_s_at","blue"
"205336_at","turquoise"
"207307_at","turquoise"
"229300_at","turquoise"
"210338_s_at","turquoise"
"207961_x_at","blue"
"204338_s_at","turquoise"
"223708_at","turquoise"
"208846_s_at","turquoise"
"1557326_at","turquoise"
"233814_at","turquoise"
"217356_s_at","turquoise"
"204014_at","turquoise"
"1553613_s_at","blue"
"AFFX-r2-Bs-lys-5_at","brown"
"201506_at","grey"
"202376_at","grey"
"243337_at","turquoise"
"203861_s_at","turquoise"
"215714_s_at","turquoise"
"1558048_x_at","grey"
"227697_at","blue"
"215161_at","turquoise"
"201161_s_at","blue"
"207703_at","grey"
"243489_at","grey"
"231576_at","turquoise"
"226618_at","turquoise"
"1558034_s_at","blue"
"1564511_a_at","grey"
"225516_at","blue"
"226675_s_at","blue"
"228509_at","turquoise"
"1568603_at","turquoise"
"209651_at","blue"
"243139_at","turquoise"
"242277_at","turquoise"
"1555800_at","turquoise"
"220609_at","blue"
"238047_at","grey"
"227361_at","brown"
"213800_at","blue"
"241897_at","blue"
"1569110_x_at","grey"
"214414_x_at","blue"
"207826_s_at","blue"
"1556883_a_at","turquoise"
"1560926_at","blue"
"206552_s_at","turquoise"
"200950_at","turquoise"
"229641_at","grey"
"228819_at","grey"
"206456_at","turquoise"
"202291_s_at","grey"
"241762_at","blue"
"209728_at","grey"
"1556314_a_at","blue"
"213456_at","turquoise"
"230237_at","turquoise"
"236439_at","blue"
"239468_at","turquoise"
"230352_at","turquoise"
"225809_at","turquoise"
"209771_x_at","grey"
"221730_at","turquoise"
