"Module","Gene","Connectivity"
"black","IFIT3",40.2248400117059
"black","IFIH1",39.3003864853687
"black","DDX60",39.0969903453585
"black","OAS3",38.0252984857081
"black","CMPK2",37.1966498164295
"black","IFI44L",36.8412205936136
"black","IFI44",36.8016026722892
"black","RSAD2",36.3176797036826
"black","XAF1",36.1343714024832
"black","OAS2",36.0991060847334
"black","HERC5",34.8018927918904
"black","STAT2",34.5879369659479
"black","IFIT5",34.3398300571236
"black","IFIT1",33.9867688859473
"black","DDX58",33.4078002788127
"black","USP18",33.2845237766666
"black","PARP14",33.2157395347999
"black","IFIT2",33.0465747154386
"black","APOL6",32.5475122559448
"black","SPATS2L",32.5375366952829
"black","DTX3L",32.5220483670927
"black","RTP4",32.3741348299627
"black","MX1",30.6577547575727
"black","UBE2L6",30.5485158052648
"black","PARP12",30.2090335144621
"black","CMTR1",30.1683954825485
"black","OAS1",29.5076728552198
"black","HERC6",29.4898608260141
"black","SAMD9L",29.4498511323035
"black","TRIM38",29.449646808674
"tan","TXNDC5",18.8960553831345
"tan","TNFRSF17",17.5114787769554
"tan","MZB1",17.4591192994269
"tan","POU2AF1",17.0276563753233
"tan","ITM2C",16.1694257038447
"tan","SPATS2",15.1210303317248
"tan","IGLL5",14.9661982253569
"tan","IRF4",14.6586303425477
"tan","SEC11C",14.6309144518258
"tan","IGHG3",14.3941848587274
"tan","JCHAIN",14.2361009349585
"tan","GLDC",14.0889008195797
"tan","IGLC3",13.935607340277
"tan","IGHG1",13.7735210706411
"tan","GPRC5D",13.7127728931896
"tan","IGKC",13.6808451975647
"tan","IGLC2",13.6330048083681
"tan","BHLHA15",13.3726033803494
"tan","IGLC1",13.3630363398075
"tan","HSP90B1",12.7349552705114
"tan","TNFRSF13B",12.4755956272922
"tan","LMAN1",12.3574414169217
"tan","FKBP11",12.2382773871338
"tan","TPD52",11.978905213752
"tan","IGHA1",11.9741966032526
"tan","UAP1",11.9354008264696
"tan","XBP1",11.9039366862974
"tan","DERL3",10.6510316636192
"tan","PDIA4",10.4810102313749
"tan","PLAAT2",10.0324373598297
"greenyellow","BCL2L15",21.5185543301172
"greenyellow","ERG",21.0470260140328
"greenyellow","CEACAM8",20.3902813789011
"greenyellow","CEACAM6",19.5621376171833
"greenyellow","TCN1",19.4280035947428
"greenyellow","PRRT4",19.2324948878045
"greenyellow","MPO",18.2112757938093
"greenyellow","BPI",18.1555710469106
"greenyellow","MS4A3",18.1105357359502
"greenyellow","COL17A1",18.0328881081345
"greenyellow","LCN2",17.3585771372337
"greenyellow","CD24",16.6824380706766
"greenyellow","CRISP3",16.2654881067122
"greenyellow","DZIP1L",16.1504290414281
"greenyellow","INHBA",16.0788346934232
"greenyellow","DEFA4",15.9037460254179
"greenyellow","CTSG",15.7487158573916
"greenyellow","LTF",15.1944695379449
"greenyellow","ABCA13",15.0181385568502
"greenyellow","OLR1",14.8085821958963
"greenyellow","STBD1",14.0936678796851
"greenyellow","TARM1",13.775140368845
"greenyellow","PTX3",13.2785499127936
"greenyellow","SERPINB10",12.7223934099244
"greenyellow","ELANE",12.7185178338295
"greenyellow","HTRA3",12.6374862244831
"greenyellow","PRTN3",12.0928508775312
"greenyellow","CLTCL1",11.8825435889512
"greenyellow","AZU1",11.8807335018134
"greenyellow","SLC27A2",11.7370685833472
"yellow","AGFG1",57.7259996744069
"yellow","ASPH",56.6794681555123
"yellow","NSUN7",55.344142752306
"yellow","TMED8",55.2771056339684
"yellow","EXOC6",54.8153009114766
"yellow","KLHL2",52.5356438938889
"yellow","PFKFB2",52.2438883487219
"yellow","ST6GALNAC3",50.8318441398668
"yellow","MSL3",50.3211252345344
"yellow","GRB10",50.307349772119
"yellow","IL1R2",50.2148296377755
"yellow","IRAK3",50.1520183151869
"yellow","GTDC1",49.6618943210538
"yellow","BMX",49.390976054931
"yellow","DACH1",48.7881688856143
"yellow","GYG1",48.4859588051027
"yellow","IL1R1",47.7079013331773
"yellow","IL18R1",47.3476979373317
"yellow","FKBP5",46.6477602676624
"yellow","KCNE1",46.5755045645677
"yellow","APH1B",45.9353660162163
"yellow","ERLIN1",45.7835963915001
"yellow","FGD4",44.4386868223606
"yellow","PHTF1",44.0518363437935
"yellow","MKNK1",43.9552112595598
"yellow","ARHGAP24",43.3952036744695
"yellow","MAP2K6",43.3156104592421
"yellow","ACVR1B",42.9030906370367
"yellow","RABGEF1",42.367795642461
"yellow","ANKS1A",42.2856689616991
"brown","RPS19",239.433766574362
"brown","USP5",229.483452117294
"brown","EDF1",228.229964935385
"brown","RPS15",226.364144289922
"brown","PES1",224.967525937106
"brown","NHP2",224.021864525455
"brown","PIH1D1",222.832259180757
"brown","WDR46",221.03569172434
"brown","ABHD14B",220.619162213608
"brown","RPLP2",220.436094913893
"brown","LSM7",220.128866131699
"brown","EIF3G",217.034170696232
"brown","DRG2",216.429148002301
"brown","TLE5",216.332753239266
"brown","RANGRF",216.135868082477
"brown","RPL18A",215.481807863055
"brown","WDR74",215.197546149549
"brown","CUTA",214.907040663735
"brown","NAXE",213.907697198585
"brown","RPL36",213.533293657809
"brown","ECHS1",213.09292715133
"brown","RPL27A",211.652277489657
"brown","RPL38",211.402245813677
"brown","REXO4",210.731098616012
"brown","C19orf53",210.450487819849
"brown","BABAM1",210.430213788683
"brown","PUF60",210.084809402664
"brown","RPS28",209.969601461375
"brown","NOP53",209.723185988316
"brown","APRT",209.306088426092
"blue","NDUFS7",296.466102285669
"blue","MCRIP1",294.917780439095
"blue","CCDC124",294.099465242017
"blue","ATP5F1D",292.489166517886
"blue","RBM42",291.518531907457
"blue","NUBP2",291.048697307415
"blue","ARFGAP1",289.878546956976
"blue","SHARPIN",287.381573519458
"blue","MBD3",285.584969163077
