"Module","Gene","Connectivity"
"brown","AFFX-PheX-M_at",18.5677737741693
"brown","AFFX-ThrX-3_at",18.4104589224512
"brown","AFFX-PheX-3_at",18.2409524674602
"brown","AFFX-DapX-M_at",17.9905114736973
"brown","AFFX-r2-Bs-thr-3_s_at",17.9370260325936
"brown","AFFX-r2-Bs-phe-M_at",17.9039881881789
"brown","AFFX-LysX-M_at",17.695266371131
"brown","AFFX-ThrX-M_at",17.6570067163176
"brown","AFFX-r2-Bs-dap-M_at",17.2630110792069
"brown","AFFX-DapX-3_at",17.0390131867447
"brown","AFFX-r2-Bs-phe-3_at",16.9930107757009
"brown","AFFX-LysX-3_at",16.9390844330803
"brown","AFFX-r2-Bs-thr-M_s_at",16.7915510900536
"brown","AFFX-r2-Bs-dap-5_at",16.7776867374694
"brown","AFFX-r2-Bs-lys-M_at",16.6032763833158
"brown","AFFX-r2-Bs-dap-3_at",16.319861554618
"brown","AFFX-r2-Bs-lys-3_at",16.3001861299316
"brown","AFFX-DapX-5_at",15.8680678022771
"brown","AFFX-ThrX-5_at",14.8554414426422
"brown","AFFX-PheX-5_at",14.7951025596109
"brown","AFFX-r2-Bs-phe-5_at",14.6710882482282
"brown","AFFX-r2-Bs-thr-5_s_at",11.7475225178512
"brown","AFFX-LysX-5_at",11.6244126447243
"brown","AFFX-r2-Bs-lys-5_at",7.81809940554714
"brown","216550_x_at",4.20697656481883
"brown","230392_at",2.46008570040552
"brown","224568_x_at",2.31189763456611
"brown","235567_at",2.06607129463373
"brown","1554096_a_at",1.93711946751678
"brown","224110_at",1.81649171410028
"blue","208610_s_at",20.2935112900042
"blue","1558732_at",19.4412225324097
"blue","244753_at",16.8133473466271
"blue","242239_at",16.5900644325399
"blue","228613_at",15.907079843892
"blue","225239_at",15.1226356613867
"blue","1556055_at",15.0907221121568
"blue","236617_at",14.8785658819412
"blue","242829_x_at",14.244980719812
"blue","227062_at",14.0878708622138
"blue","241762_at",13.7583362592053
"blue","216101_at",13.7337834227832
"blue","244292_at",13.7197447646773
"blue","244697_at",13.450425841123
"blue","220609_at",13.2431379833661
"blue","1561658_at",12.8279387819045
"blue","226675_s_at",12.6793335899036
"blue","206826_at",12.5381929902206
"blue","241613_at",12.4262788099881
"blue","219028_at",12.1371513740739
"blue","214723_x_at",11.9643174010002
"blue","230629_s_at",11.9138299286354
"blue","234562_x_at",11.7747095783418
"blue","214295_at",11.2433955516805
"blue","49452_at",11.2022569109615
"blue","234989_at",11.0961006573698
"blue","220940_at",10.9538167536938
"blue","1566867_at",10.7724033083762
"blue","211962_s_at",10.6744615654372
"blue","234163_at",10.6282991716748
"turquoise","200978_at",42.3833657920516
"turquoise","202395_at",37.3853415216997
"turquoise","205257_s_at",34.3552186575776
"turquoise","206710_s_at",32.1848282860475
"turquoise","202507_s_at",31.9272683567254
"turquoise","229300_at",31.9041817897474
"turquoise","224650_at",31.4777754629626
"turquoise","208813_at",31.4579612777743
"turquoise","208846_s_at",31.3116772200964
"turquoise","218118_s_at",30.3490195042537
"turquoise","226618_at",30.2403496808323
"turquoise","210222_s_at",29.9467533750121
"turquoise","228062_at",29.5529806634129
"turquoise","230962_at",28.5958485875428
"turquoise","221805_at",28.5390149624809
"turquoise","203000_at",28.1398941640259
"turquoise","205113_at",28.067478201294
"turquoise","202854_at",27.91850078617
"turquoise","205352_at",27.3762257888302
"turquoise","209755_at",27.2613408012826
"turquoise","208743_s_at",27.1768355888316
"turquoise","204953_at",27.1269699338055
"turquoise","203333_at",26.9386689468893
"turquoise","1568604_a_at",26.7415302808838
"turquoise","204260_at",26.3656020462376
"turquoise","205827_at",26.1836883612681
"turquoise","200883_at",25.9411811805131
"turquoise","229256_at",25.7479313712763
"turquoise","203798_s_at",25.5649453477627
"turquoise","203413_at",25.5196360075814
