"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","response to virus","30/199","425/18986",0.0705882352941176,6.73461424770913,12.3055522925054,1.24902655352326e-16,1.71173757992561e-13,1.51180357614499e-13,"STMN1/OASL/IFI27/BATF3/POU2AF1/TRIM22/STAT1/OAS3/HSPB1/IFI44L/OAS2/DDX60/IFI44/RSAD2/IFIT3/IFIT5/IFIT1/GBP1/OAS1/IFIH1/MX1/IFIT2/HERC5/DEFA1/USP18/APOBEC3B/GBP5/IFI6/DEFA1B/DEFA3",30
"GO:0019731","antibacterial humoral response","16/199","79/18986",0.20253164556962,19.3229438330895,16.7957965422995,1.39505915234361e-16,1.71173757992561e-13,1.51180357614499e-13,"JCHAIN/IGHG1/IGHG3/H2BC7/IGHG2/IGHA1/DEFA1/IGHG4/DEFA4/LTF/BPI/DEFA1B/RNASE3/CTSG/DEFA3/IGHM",16
"GO:0042742","defense response to bacterium","27/199","342/18986",0.0789473684210526,7.53213435599048,12.5458975304468,2.96105446458128e-16,2.42214255202749e-13,2.13923197985013e-13,"JCHAIN/IGHG1/IGHG3/CFP/SHARPIN/H2BC7/OAS3/OAS2/IGHG2/IGHA1/GBP1/OAS1/ADAM17/DEFA1/IGHG4/DEFA4/LTF/BPI/MPO/GBP5/DEFA1B/RNASE1/RNASE3/CTSG/DEFA3/IGHM/LCN2",27
"GO:0051607","defense response to virus","25/199","320/18986",0.078125,7.45367462311558,11.9828340640458,5.1577826971795e-15,3.16429968471962e-12,2.79470383512963e-12,"OASL/IFI27/TRIM22/STAT1/OAS3/IFI44L/OAS2/DDX60/RSAD2/IFIT3/IFIT5/IFIT1/GBP1/OAS1/IFIH1/MX1/IFIT2/HERC5/DEFA1/USP18/APOBEC3B/GBP5/IFI6/DEFA1B/DEFA3",25
"GO:0048525","negative regulation of viral process","14/199","99/18986",0.141414141414141,13.4919039642658,12.8253098215822,2.12273492656315e-12,1.0418383019572e-09,9.20149729219691e-10,"OASL/STAT1/OAS3/OAS2/PTX3/RSAD2/IFIT5/IFIT1/OAS1/IFIH1/MX1/LY6E/LTF/APOBEC3B",14
"GO:0045071","negative regulation of viral genome replication","11/199","55/18986",0.2,19.0814070351759,13.8206958961367,1.01699816990639e-11,3.85505990163297e-09,3.40478202610659e-09,"OASL/OAS3/OAS2/RSAD2/IFIT5/IFIT1/OAS1/IFIH1/MX1/LTF/APOBEC3B",11
"GO:0019730","antimicrobial humoral response","17/199","185/18986",0.0918918918918919,8.76713296210784,10.9259510496822,1.09965033868911e-11,3.85505990163297e-09,3.40478202610659e-09,"JCHAIN/IGHG1/IGHG3/H2BC7/IGHG2/IGHA1/DEFA1/IGHG4/DEFA4/LTF/BPI/DEFA1B/RNASE3/CTSG/CCL3L1/DEFA3/IGHM",17
"GO:0006959","humoral immune response","21/199","310/18986",0.067741935483871,6.46305722159183,9.98108571020801,1.3601561148403e-11,4.17227888227263e-09,3.68494926375814e-09,"JCHAIN/IGHG1/IGHG3/CFP/POU2AF1/H2BC7/IGHG2/FCER2/IGHA1/DEFA1/IGHG4/DEFA4/LTF/BPI/DEFA1B/RNASE3/CTSG/CCL3L1/DEFA3/SERPING1/IGHM",21
"GO:0050853","B cell receptor signaling pathway","12/199","79/18986",0.151898734177215,14.4922078748171,12.3676839505778,3.49252595306797e-11,9.1991230973614e-09,8.12464910456274e-09,"CD38/IGHG1/IGHG3/IGLC1/IGKC/IGLC3/LIME1/IGHG2/IGHA1/IGHG4/IGHM/IGLC7",12
"GO:1903900","regulation of viral life cycle","15/199","146/18986",0.102739726027397,9.8020926550561,10.9881615472278,3.79542158621542e-11,9.1991230973614e-09,8.12464910456274e-09,"TOP2A/OASL/TRIM22/OAS3/OAS2/PTX3/RSAD2/IFIT5/IFIT1/OAS1/IFIH1/MX1/LY6E/LTF/APOBEC3B",15
"GO:0050792","regulation of viral process","16/199","173/18986",0.092485549132948,8.82377203938769,10.6393068109336,4.12348631096069e-11,9.1991230973614e-09,8.12464910456274e-09,"TOP2A/OASL/TRIM22/STAT1/OAS3/OAS2/PTX3/RSAD2/IFIT5/IFIT1/OAS1/IFIH1/MX1/LY6E/LTF/APOBEC3B",16
"GO:0045069","regulation of viral genome replication","12/199","85/18986",0.141176470588235,13.4692284954183,11.8579544131599,8.49443442380153e-11,1.73711183966741e-08,1.53421407707082e-08,"TOP2A/OASL/OAS3/OAS2/RSAD2/IFIT5/IFIT1/OAS1/IFIH1/MX1/LTF/APOBEC3B",12
"GO:0140374","antiviral innate immune response","10/199","59/18986",0.169491525423729,16.1706839281152,12.0113935350861,5.13038620249821e-10,9.68459056994663e-08,8.55341311007597e-08,"OASL/OAS3/OAS2/IFIT3/IFIT1/OAS1/IFIH1/MX1/IFIT2/USP18",10
"GO:0019079","viral genome replication","13/199","130/18986",0.1,9.54070351758794,10.056425917923,1.11249465680162e-09,1.95004420556512e-07,1.72227556267258e-07,"TOP2A/OASL/IFI27/OAS3/OAS2/RSAD2/IFIT5/IFIT1/OAS1/IFIH1/MX1/LTF/APOBEC3B",13
"GO:0019058","viral life cycle","19/199","323/18986",0.0588235294117647,5.61217853975761,8.6043836250876,1.45076844449891e-09,2.37345717520021e-07,2.09623314191105e-07,"TOP2A/CDK1/OASL/IFI27/SIVA1/TRIM22/OAS3/OAS2/PTX3/RSAD2/IFIT5/IFIT1/OAS1/IFIH1/MX1/LY6E/LTF/APOBEC3B/SIGLEC1",19
"GO:0016064","immunoglobulin mediated immune response","15/199","209/18986",0.0717703349282297,6.84739486908225,8.74833859323255,5.82954634774089e-09,8.94106671084759e-07,7.89673416447269e-07,"IGHG1/IGHG3/IGLC2/IGLL5/IGLC1/IGKC/IGLC3/IGHG2/FCER2/IGHA1/FCGR3B/IGHG4/SERPING1/IGHM/IGLC7",15
"GO:0019724","B cell mediated immunity","15/199","212/18986",0.0707547169811321,6.75049777187826,8.66558894857724,7.07607771196688e-09,1.02145262971569e-06,9.02145139872434e-07,"IGHG1/IGHG3/IGLC2/IGLL5/IGLC1/IGKC/IGLC3/IGHG2/FCER2/IGHA1/FCGR3B/IGHG4/SERPING1/IGHM/IGLC7",15
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","20/199","400/18986",0.05,4.77035175879397,7.84371888823544,8.5377699909527e-09,1.16398264209988e-06,1.02802739247787e-06,"IGHG1/IGHG3/FUT7/IGLC2/IGLL5/IGLC1/IGKC/IGLC3/CD7/IGHG2/FCER2/RSAD2/IGHA1/GZMM/ADAM17/FCGR3B/IGHG4/SERPING1/IGHM/IGLC7",20
