"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902600","proton transmembrane transport","70/2715","195/18986",0.358974358974359,2.51030835340228,8.65946535495233,3.46683864081777e-14,2.14077286070497e-10,1.83705954925018e-10,"COX5B/ATP5PO/COX7B/ATP5MG/ATP5MC3/ATP5F1C/ATP5PF/ATP5F1B/COA8/UQCRH/UQCR10/NDUFS5/NDUFA12/UQCRFS1/NDUFB5/NDUFA2/COX6B1/NDUFS8/SLC25A5/ATP5MF/SLC25A12/ATP6V1E1/NDUFC2/NDUFB4/NDUFA4/NDUFA8/NDUFA5/SLC25A3/ATP6V1D/ATP6V1B2/SLC4A11/COX5A/NDUFS3/ATP5PD/NDUFA1/CTNS/ATP5F1A/GHITM/NDUFA7/SLC25A4/SLC25A18/ND6/NDUFB10/NDUFV2/ATP6V1H/ATP6V1C1/CHP1/TCIRG1/NDUFB7/ATP6V1G2/SLC25A27/HVCN1/DMAC2L/SLC9A6/ATP6V0E1/ATP6V1A/ATPSCKMT/UQCRC1/ATP1A1/ATP1A2/ATP1A3/NDUFC1/TMCO3/SLC9A7/SLC25A14/NDUFB2/ATP6AP2/SLC32A1/LETM1/SLC9B2",70
"GO:0009060","aerobic respiration","66/2715","200/18986",0.33,2.30769060773481,7.59426833691446,1.50013721635347e-11,4.63167365549134e-08,3.97457407743335e-08,"COX5B/ATP5PO/NDUFAB1/COX7B/ATP5MG/ATP5F1C/ATP5PF/ATP5F1B/UQCRH/PANK2/UQCR10/NDUFS5/NDUFA12/UQCRFS1/MDH1/NDUFB5/CHCHD2/SNCA/UQCRC2/NDUFA2/COX6B1/NDUFS8/COX6C/ATP5MF/FH/NDUFC2/NDUFB4/NDUFA4/NDUFA8/NDUFA5/COX5A/NDUFS3/ATP5PD/NDUFA1/ATP5F1A/GHITM/NDUFA7/NDUFA11/SUCLA2/ND6/NDUFB10/ME3/SDHB/NDUFV2/NDUFAF1/IREB2/DGUOK/MSH2/CCNB1/DLD/TMEM135/C2orf69/NDUFB7/AK4/IDH3G/ATPSCKMT/UQCRC1/NDUFC1/SLC25A14/PDHB/NDUFB2/IDH3B/RHOA/SIRT3/IDE/IDH3A",66
"GO:0006119","oxidative phosphorylation","53/2715","149/18986",0.355704697986577,2.48744360809324,7.44579149088289,6.4538317294484e-11,1.3284136976448e-07,1.1399504886331e-07,"COX5B/ATP5PO/NDUFAB1/COX7B/ATP5MG/ATP5F1C/ATP5PF/ATP5F1B/UQCRH/UQCR10/NDUFS5/NDUFA12/UQCRFS1/NDUFB5/CHCHD2/SNCA/UQCRC2/NDUFA2/COX6B1/NDUFS8/COX6C/ATP5MF/NDUFC2/NDUFB4/NDUFA4/NDUFA8/NDUFA5/COX5A/NDUFS3/ATP5PD/NDUFA1/ATP5F1A/GHITM/NDUFA7/NDUFA11/ND6/NDUFB10/SDHB/NDUFV2/NDUFAF1/DGUOK/MSH2/CCNB1/DLD/TMEM135/C2orf69/NDUFB7/AK4/ATPSCKMT/UQCRC1/NDUFC1/NDUFB2/RHOA",53
"GO:0010975","regulation of neuron projection development","116/2715","452/18986",0.256637168141593,1.79466418944246,6.98475819255891,9.00588895260371e-11,1.3902841070582e-07,1.19304328914229e-07,"DDR1/MACF1/GFAP/FGFR1/FLNA/TRAK1/PAK1/ZNF365/CBFA2T2/STMN2/NSMF/SERPINI1/HECW1/SNAP25/RUFY3/AVIL/PTPRO/ATP1B2/SRCIN1/FYN/SEMA6D/BMP7/SNX3/DNM3/CAMK2G/SLIT2/BRSK1/STK11/STAU2/PACSIN1/PTPRF/SEMA3F/KLF4/RIT2/UBE3A/DGUOK/SF3A2/RTN4IP1/LRRK2/PPP3CA/GOLGA4/PPFIA2/CHN1/LRP4/B2M/MINAR1/NEFL/ELAVL4/ATP8A2/PREX1/TBX6/SEMA3A/PLXNB1/CDKL5/NEGR1/KANK1/TIAM2/DGKG/MARK1/NRDC/ROBO2/MAP1B/NTRK3/PAFAH1B1/TMEM30A/RTCA/LYN/EPHA7/RET/TOX/PTN/PDLIM5/XK/EFNA5/DHX36/CAPRIN1/MCF2/ITGA6/MAP3K13/RGS2/DKK1/CAMK1D/SHANK3/FGF13/SERPINF1/SYNE1/SLC39A12/PLXNA3/PLXNB2/NCS1/CUX1/NTNG1/BRAF/RHOA/ABI2/FKBP1B/SKIL/HES1/NEU4/ENC1/PMP22/CAPRIN2/TBR1/EPHA3/EPHA4/PQBP1/AP2A1/NEDD4L/TRIM46/LRRC7/CFL1/ATOH7/KATNB1/GORASP1/PTPN9/DISC1",116
"GO:0015986","proton motive force-driven ATP synthesis","33/2715","77/18986",0.428571428571429,2.99700078926598,7.17253065941591,1.08587811460255e-09,1.34105947153415e-06,1.15080219555984e-06,"ATP5MJ/ATP5PO/NDUFAB1/ATP5MG/ATP5MC3/ATP5F1C/ATP5PF/ATP5F1B/NDUFS5/NDUFA12/NDUFB5/NDUFA2/NDUFS8/ATP5MF/NDUFC2/NDUFB4/NDUFA8/NDUFA5/NDUFS3/ATP5PD/NDUFA1/ATP5F1A/NDUFA7/NDUFA11/ND6/NDUFB10/SDHB/NDUFV2/NDUFB7/ATP6V1A/ATPSCKMT/NDUFC1/NDUFB2",33
"GO:0072522","purine-containing compound biosynthetic process","75/2715","263/18986",0.285171102661597,1.99420204608953,6.63205170396674,1.4416412522249e-09,1.48368912208146e-06,1.27319685328073e-06,"ATP5MJ/ATP5PO/NDUFAB1/ATP5MG/ATP5MC3/ATP5F1C/GUCY1B1/ATP5PF/ATP5F1B/PANK2/PARP10/NDUFS5/NDUFA12/NDUFB5/COX11/DIP2A/SNCA/NDUFA2/NDUFS8/ACACB/NME1/PDK3/ATP5MF/TPK1/PRPS2/NDUFC2/NDUFB4/MPC2/NMNAT2/NDUFA8/NDUFA5/CBR4/NDUFS3/ATP5PD/NDUFA1/ATP5F1A/NDUFA7/NDUFA11/ND6/HPRT1/NDUFB10/SDHB/ACSL4/NDUFV2/ACOT7/ACSL3/DGUOK/MAPDA/DLD/PPARA/ACSS1/NDUFB7/GART/ADK/DMAC2L/ADCY1/AK4/ATP6V1A/ATPSCKMT/ELOVL6/ACSL6/NUDT2/PDK1/NDUFC1/GUCY1A2/PDHB/NDUFB2/PAPSS1/NME7/PPCS/MTAP/MLYCD/ACSBG1/PTGIS/PANK3",75
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","30/2715","68/18986",0.441176470588235,3.08514787130322,7.03617771399883,2.66725948645304e-09,2.35290390412108e-06,2.01909537666235e-06,"ATP5PO/NDUFAB1/ATP5MG/ATP5F1C/ATP5PF/ATP5F1B/NDUFS5/NDUFA12/NDUFB5/NDUFA2/NDUFS8/ATP5MF/NDUFC2/NDUFB4/NDUFA8/NDUFA5/NDUFS3/ATP5PD/NDUFA1/ATP5F1A/NDUFA7/NDUFA11/ND6/NDUFB10/SDHB/NDUFV2/NDUFB7/ATPSCKMT/NDUFC1/NDUFB2",30
"GO:0099003","vesicle-mediated transport in synapse","73/2715","258/18986",0.282945736434109,1.97864005596243,6.46502539805659,3.45050886817776e-09,2.66336153262471e-06,2.28550811084301e-06,"BTBD8/SCRIB/SNCA/ATP6V1E1/GRIK5/C9orf72/SNAP25/AP3M2/VPS35/NSG1/RPH3A/MKLN1/ATP6V1D/ATP6V1B2/RABEP1/SV2B/PRKCB/SYT1/DNM3/CPLX2/CALM2/BRSK1/PACSIN1/AAK1/ARPC3/SGIP1/OPHN1/CADPS/ATP2A2/ATP6V1H/ATAD1/NRG1/LRRK2/CALM1/SNAP29/PPFIA2/RIMS2/ATP6V1C1/SV2C/ATP6V1G2/AMPH/NRXN1/SYNJ1/STON2/ATP6V1A/SNAP91/PPP3CB/CACNB4/PREPL/RIMS3/PPP3R1/RAB3GAP1/DNAJC6/SH3GL2/RAB27B/SYNE1/SUSD4/SYN2/RPH3AL/BRAF/ATP6AP2/SLC32A1/CALY/BLOC1S6/ERC2/PPP3CC/NAPB/UNC13A/SYT2/AP2A1/CTBP1/ARHGDIA/P2RY1",73
"GO:0045333","cellular respiration","71/2715","249/18986",0.285140562248996,1.99398847692797,6.44932243440277,3.94042575614255e-09,2.7035698937978e-06,2.32001207677445e-06,"COX5B/ATP5PO/NDUFAB1/COX7B/ATP5MG/ATP5F1C/ATP5PF/ATP5F1B/UQCRH/PANK2/UQCR10/NDUFS5/NDUFA12/UQCRFS1/MDH1/NDUFB5/CHCHD2/SNCA/UQCRC2/NDUFA2/COX6B1/NDUFS8/COX6C/ATP5MF/SLC25A12/FH/NDUFC2/NDUFB4/NDUFA4/NDUFA8/NDUFA5/COX5A/NDUFS3/ATP5PD/NDUFA1/ATP5F1A/GHITM/NDUFA7/NDUFA11/SUCLA2/SLC25A18/ND6/OPN3/NDUFB10/ME3/SDHB/NDUFV2/NDUFAF1/IREB2/DGUOK/MSH2/CCNB1/DLD/TMEM135/C2orf69/NDUFB7/AK4/IDH3G/ATPSCKMT/UQCRC1/NDUFC1/PPARGC1A/SLC25A14/PDHB/NDUFB2/IDH3B/RHOA/SIRT3/IDE/IMMP2L/IDH3A",71
"GO:0042773","ATP synthesis coupled electron transport","38/2715","101/18986",0.376237623762376,2.63103039585727,6.71347447573184,5.27517958103759e-09,2.96129399208247e-06,2.54117263262615e-06,"COX5B/NDUFAB1/COX7B/UQCRH/UQCR10/NDUFS5/NDUFA12/UQCRFS1/NDUFB5/CHCHD2/SNCA/UQCRC2/NDUFA2/COX6B1/NDUFS8/COX6C/NDUFC2/NDUFB4/NDUFA4/NDUFA8/NDUFA5/COX5A/NDUFS3/NDUFA1/GHITM/NDUFA7/ND6/NDUFB10/SDHB/NDUFV2/NDUFAF1/DGUOK/CCNB1/DLD/NDUFB7/UQCRC1/NDUFC1/NDUFB2",38
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","38/2715","101/18986",0.376237623762376,2.63103039585727,6.71347447573184,5.27517958103759e-09,2.96129399208247e-06,2.54117263262615e-06,"COX5B/NDUFAB1/COX7B/UQCRH/UQCR10/NDUFS5/NDUFA12/UQCRFS1/NDUFB5/CHCHD2/SNCA/UQCRC2/NDUFA2/COX6B1/NDUFS8/COX6C/NDUFC2/NDUFB4/NDUFA4/NDUFA8/NDUFA5/COX5A/NDUFS3/NDUFA1/GHITM/NDUFA7/ND6/NDUFB10/SDHB/NDUFV2/NDUFAF1/DGUOK/CCNB1/DLD/NDUFB7/UQCRC1/NDUFC1/NDUFB2",38
