"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","102/1351","311/9521",0.327974276527331,2.311356837022,9.56106750998001,1.89668611986891e-17,6.54356711354772e-15,4.99127926281291e-15,"1329/539/4706/1349/518/509/522/6647/506/7388/29796/4725/55967/7386/4711/10383/7385/4695/1340/10376/4728/5682/1345/292/1213/5695/10381/1387/5718/4718/10213/7846/4710/4697/5440/4702/4698/9377/84790/4722/1768/10476/5689/4694/498/4701/291/126328/5686/55860/5609/4541/2893/203068/4716/7277/6390/4729/5601/3831/5978/55102/29982/3766/4713/5684/3708/113457/7280/5710/5701/5602/5717/5330/5683/5692/10671/2475/9861/90993/5332/51164/7419/5331/84516/7384/7416/4717/7157/3065/10891/2902/4708/5434/246721/25981/5688/84617/160/5719/7052/2892",102
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","94/1351","278/9521",0.338129496402878,2.38292445244397,9.51589185179421,3.92558483999363e-17,6.77163384898901e-15,5.16524321051794e-15,"1329/539/4706/1349/518/509/522/6647/506/7388/29796/4725/55967/7386/4711/10383/7385/4695/1340/10376/4728/5682/1345/292/3312/5695/10381/5718/4718/10213/7846/4710/5567/4697/4702/2534/4698/9377/84790/4722/10476/5689/4694/498/1958/4701/291/126328/5686/4541/203068/4716/7277/6390/4729/5601/3831/5530/4713/5684/3708/113457/7280/5710/5701/5602/5717/5683/5692/3304/116443/9861/90993/6263/7419/5532/7384/3303/7416/4717/5534/2903/2902/1388/4708/5603/5533/5688/84617/5719/779/1457/6352/857",94
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","131/1351","483/9521",0.271221532091097,1.91139911697952,8.35951575831145,1.57392749109739e-14,1.73836520955887e-12,1.32598414153995e-12,"1329/539/4706/1349/518/509/522/6647/506/7388/29796/4725/55967/1856/7386/4711/10383/7332/6622/7385/4695/1340/10376/4728/5682/1345/292/5695/10381/9896/5718/203228/4718/10213/7846/7132/4710/4697/4702/4698/5894/9377/84790/5579/4722/1768/10476/5689/4694/818/498/805/4701/291/126328/5686/55860/5609/8313/4541/2893/203068/4716/7277/6390/4729/5601/3831/7133/55102/488/7345/596/120892/801/5530/29982/4713/5684/4747/3708/113457/7280/5710/50507/5701/5602/5717/4744/5330/5683/5692/10671/2475/9861/5332/51164/6263/7419/5331/5532/84516/7384/7416/8878/4717/22943/5534/2903/2902/1128/1131/92552/4708/25978/673/5743/5603/5481/5533/116442/5861/27035/25981/5688/84617/4741/5719/779/1457/2892",131
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","87/1351","271/9521",0.321033210332103,2.26244055926866,8.57353328914088,2.01549589514072e-14,1.73836520955887e-12,1.32598414153995e-12,"1329/539/4706/1349/518/509/522/6647/506/7388/29796/4725/55967/7386/7295/4711/10383/7332/6622/7385/4695/1340/10376/4728/5682/1345/292/5695/10381/5718/4718/10213/7846/4710/5567/4697/4702/4698/9377/84790/4722/10476/5689/4694/818/498/805/4701/291/126328/57181/5686/4541/203068/4716/7277/6390/4729/5601/3831/2778/7345/120892/801/4713/5684/3708/113457/7280/5710/5701/5602/5717/5683/5692/9861/6263/7419/7384/7416/4717/7157/221074/4708/5688/84617/5719",87
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","107/1351","371/9521",0.288409703504043,2.03253056037157,8.24924956963146,6.42287083932358e-14,3.96431321920418e-12,3.02388498795132e-12,"1329/539/4706/1349/518/509/522/6647/506/7388/29796/4725/55967/7386/4711/10383/7385/4695/1340/10376/4728/5682/1345/5903/5695/10381/9896/5718/203228/4718/10213/7846/7132/4710/4697/4702/4698/9377/84790/4722/1768/10476/5689/4694/498/4701/126328/5686/55860/4541/203068/4716/7277/6390/4729/3831/7133/55102/56893/596/3084/5530/29982/4713/5684/4747/113457/7280/5710/5701/5717/4744/5683/5692/10671/2475/9861/81929/51164/5532/84516/7384/7416/8878/9782/4717/7157/5534/2903/10762/2902/29107/4708/25978/4927/5603/5533/116442/5861/23225/25981/5688/84617/4741/5719/23511/9631",107
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","111/1351","391/9521",0.283887468030691,2.00066068328661,8.21627462150724,6.89445777252901e-14,3.96431321920418e-12,3.02388498795132e-12,"1329/539/4706/1349/518/509/522/506/7388/29796/4725/55967/1856/7386/4711/10383/6622/7385/4695/1340/10376/4728/5682/1345/292/5695/10381/5718/4718/10213/7846/7132/4710/4697/4702/4698/5894/9377/84790/4722/10476/5689/4694/498/805/4701/291/126328/57181/5686/5609/8313/4541/203068/4716/7277/6390/4729/5601/3831/55102/488/801/3643/3551/5530/29982/4713/5684/3708/113457/7280/5710/50507/5701/5602/5717/5330/5683/5692/2475/9861/25825/5332/6263/7419/5331/5532/7384/7416/4717/22943/5534/2903/221074/2902/1128/1131/55851/4708/673/5743/5481/5533/27035/3416/5688/84617/5719/779/1457",111
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","53/1351","138/9521",0.384057971014493,2.70659951297482,8.21174439698279,1.21258993537616e-12,5.9763361100682e-11,4.55860877960961e-11,"1329/539/4706/1349/10632/518/509/522/506/7388/29796/4725/55967/7386/4711/1353/7385/4695/1340/4728/1345/9551/529/4718/4710/4697/4702/4698/51382/526/9377/4722/10476/4694/498/4701/126328/5464/4541/4716/6390/4729/51606/528/10312/4713/534/8992/523/7384/27068/4717/4708",53
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","64/1351","205/9521",0.31219512195122,2.20015525987976,7.06374062435269,2.31886660209551e-10,1.00001122215369e-08,7.62785066478787e-09,"1329/539/4706/1349/518/509/522/506/7388/29796/4725/55967/7386/4711/7385/4695/1340/4728/5165/1345/292/4718/4710/25874/4697/4702/4698/9377/5579/4722/10476/4694/818/498/4701/291/126328/1277/4541/4716/6390/4729/5601/7042/488/5465/3643/4713/5602/5330/2475/5332/7419/5331/7384/7416/4717/6513/5162/4708/5603/948/1375/183",64
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","70/1351","235/9521",0.297872340425532,2.09921728585602,6.93806335390234,3.43053282699067e-10,1.31503758367976e-08,1.00307977397388e-08,"1329/539/4706/1349/10632/518/509/522/506/123096/7388/29796/4725/55967/7386/4711/1353/7385/4695/1340/2260/4728/1345/9551/4718/4710/5567/4697/4702/55744/4698/9377/4722/10476/4694/498/4701/126328/4541/4716/6390/8110/2182/4729/51103/2778/2181/4713/6196/284184/107/2475/90993/23305/6597/7384/4717/10891/6009/65260/6194/4708/5603/1375/6595/29078/493753/7249/137682/51412",70
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","71/1351","251/9521",0.282868525896414,1.99347981869708,6.48621236037259,3.09304857577239e-09,1.06710175864147e-07,8.13960151519049e-08,"8655/7295/10383/10376/2316/5058/10381/1780/7846/51143/7132/8795/6500/9842/5894/84790/1434/6990/998/55860/5609/26999/203068/1778/6416/7277/10094/26084/5601/3831/57381/596/51209/83439/5286/3551/27072/79792/113457/7280/60412/4792/9648/5602/10671/9265/375/51164/55770/7189/113146/84516/3326/114548/26263/23265/10097/23643/1781/51626/55207/387/5603/9266/79026/3840/10333/6885/84617/140735/64601",71
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","47/1351","149/9521",0.315436241610738,2.2229966368437,6.11839311342435,4.04862190717508e-08,1.26979505270491e-06,9.68569834252412e-07,"4706/4725/55967/4711/4695/4728/222236/4718/4710/5567/4697/4702/4698/5579/4722/4694/4701/126328/2554/4541/2893/4716/4729/5601/10681/2566/4713/3708/2557/5602/107/5330/5332/5331/4717/3760/4708/5743/140679/5603/2561/2558/2563/779/3762/2562/2892",47
